s1max,s1mean,s1min,s2max,s2mean,s2min,s3max,s3mean,s3min,s4max,s4mean,s4min,s5max,s5mean,s5min,s6max,s6mean,s6min,target
47.4,43.9545,35.0,1.7,0.4262500000000001,0.0,29.75,22.122354166666664,6.5,4.44,0.49731249999999994,0.0,38.5,35.58845833333333,29.0,1.79,0.49329166666666674,0.0,1
47.75,42.1798125,33.0,3.0,0.6960416666666666,0.0,30.0,22.183625,8.5,5.15,0.9899166666666667,0.0,38.67,33.49391666666667,20.0,2.18,0.6135208333333334,0.0,1
45.75,41.6780625,33.0,2.83,0.5359791666666667,0.0,28.25,19.006562500000005,3.0,6.42,0.841875,0.0,37.5,29.857083333333332,23.67,1.79,0.3832916666666667,0.0,1
48.0,43.45495833333334,37.0,1.58,0.3780833333333333,0.0,27.0,15.793333333333333,5.75,10.03,0.8493541666666666,0.0,33.5,23.034791666666667,8.0,5.26,0.6796458333333334,0.0,1
48.0,43.969125,36.25,1.5,0.41312499999999996,0.0,26.33,15.868020833333333,1.5,5.17,0.6663541666666667,0.0,30.75,22.10375,11.33,2.96,0.5553124999999999,0.0,1
50.0,32.58620833333334,21.0,9.9,0.5161250000000001,0.0,28.25,13.941625,0.0,7.4,0.8688958333333333,0.0,33.75,20.34570833333333,5.0,13.61,1.1620416666666666,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45.5,30.938104166666665,19.0,6.4,0.4671666666666667,0.0,32.75,14.589833333333331,0.0,11.42,0.7775416666666666,0.0,36.0,18.38908333333333,1.67,6.73,1.1073541666666666,0.0,1
47.5,31.058249999999997,25.0,6.38,0.40545833333333337,0.0,28.33,15.296666666666665,2.0,5.32,0.8235416666666666,0.0,40.33,14.407187500000001,0.0,4.92,1.0981041666666667,0.0,1
44.0,36.22839583333333,19.0,12.28,2.8316874999999997,0.0,25.25,15.4245,5.5,9.5,3.119125,0.0,24.5,15.872375000000002,2.5,9.98,3.4806875,0.0,2
44.33,36.68729166666667,26.5,12.89,2.9730416666666666,0.0,28.25,18.396791666666665,8.33,9.63,2.9766041666666667,0.0,24.67,16.48,3.0,8.19,3.0733125,0.0,2
45.0,37.114312500000004,25.33,10.84,2.73,0.0,27.25,16.66391666666667,3.0,10.57,3.138541666666667,0.0,23.33,16.48754166666667,6.75,9.5,3.076354166666667,0.0,2
44.75,36.863375,26.75,11.68,2.7573125,0.0,27.0,16.49475,7.0,9.01,3.0136041666666666,0.0,23.0,16.581145833333334,8.0,8.81,2.7733125000000003,0.0,2
44.25,36.957458333333335,26.25,8.64,2.420083333333333,0.0,26.5,15.313416666666667,7.0,8.06,2.784145833333333,0.0,22.25,15.98916666666667,2.0,8.34,2.9346249999999996,0.0,2
44.67,37.14483333333333,27.75,10.76,2.4190625,0.0,24.75,14.998479166666668,0.0,9.0,2.849625,0.0,23.0,16.773520833333333,0.0,8.75,2.8224375,0.0,2
45.0,36.81952083333333,27.0,10.47,2.6001458333333334,0.0,25.0,15.302625,5.67,10.61,2.9370208333333334,0.0,24.67,17.29627083333333,8.67,8.99,2.8875625,0.0,2
44.33,36.541666666666664,27.0,10.43,2.847958333333333,0.0,27.67,16.1560625,6.0,9.63,3.055458333333333,0.0,24.5,17.062625,7.67,9.18,3.2254583333333335,0.0,2
